(29266449,1)
(-58730808,0)
(-99469919,1)
(38118897,0)
(42690752,1)
(-89890674,1)
(-71154237,1)
(-52226788,1)
(-83814762,0)
(-34376783,1)
(28481861,0)
(-7082067,1)
(8656037,1)
(-60101013,1)
(-97155607,1)
(-61923589,0)
(-47878946,1)
(-4647121,0)
(94382134,0)
(49730685,0)
(1989541,1)
(-77457817,1)
(85872155,1)
(91178300,0)
(72044073,1)
(-50504841,0)
(78391232,0)
(35091364,0)
(73500898,1)
(-4932667,0)
(92985809,0)
(7880858,1)
(-70274991,0)
(-13218989,0)
(-56711514,0)
(-96367694,0)
(53846508,1)
(77869651,0)
(6229839,1)
(-60810396,1)
(70284364,0)
(91685423,1)
(10564934,1)
(-92552554,0)
(29469830,0)
(53046522,0)
(35538550,1)
(22080622,1)
(74590773,1)
(-22081750,0)
(8108891,0)
(2823616,0)
(-28508013,1)
(-19563306,0)
(-98821905,1)
(-24112918,1)
(87149975,1)
(-89581725,0)
(51092098,1)
(28107248,1)
(79802892,1)
(46799538,1)
(-79086452,0)
(-12561952,0)
(42931142,0)
(-79930898,1)
(-34503674,0)
(79730313,0)
(9100410,1)
(-17263040,1)
(-86757218,0)
(-34929087,0)
(62521869,0)
(43017686,1)
(14947196,1)
(95492409,0)
(-98897517,0)
(-37254623,0)
(-92101251,1)
(-16971291,1)
(57239768,1)
(-31246387,0)
(-39061154,1)
(12882530,0)
(93240300,0)
(92588040,0)
(43245674,0)
(58294753,1)
(-12738114,0)
(-98555997,0)
(-96510282,0)
(-90042142,1)
(-73117290,1)
(-56871540,0)
(40695516,1)
(4748215,1)
(27133946,0)
(-88182803,1)
(-99105101,1)
(3741910,1)
